Time,Code,Name,Source
09:00:07,131970,두산테스나,RealTime
09:00:08,068270,셀트리온,RealTime
09:00:12,264450,유비쿼스,RealTime
09:00:16,095340,ISC,RealTime
09:00:18,006400,삼성SDI,RealTime
09:00:20,226950,올릭스,RealTime
09:00:25,178920,PI첨단소재,RealTime
09:00:27,322000,HD현대에너지솔루션,RealTime
09:00:30,000390,삼화페인트,RealTime
09:02:30,161000,애경케미칼,RealTime
09:08:11,475150,SK이터닉스,RealTime
09:13:10,033790,피노,RealTime
09:14:00,066970,엘앤에프,RealTime
09:17:35,100840,SNT에너지,RealTime
09:24:11,425040,티이엠씨,RealTime
09:32:54,082920,비츠로셀,RealTime
10:51:03,278470,에이피알,RealTime
11:44:01,389260,대명에너지,RealTime
12:33:29,006890,태경케미컬,RealTime
12:50:29,023900,풍국주정,RealTime
13:36:43,053690,한미글로벌,RealTime
14:23:31,078070,유비쿼스홀딩스,RealTime
15:00:20,282720,금양그린파워,RealTime
