Time,Code,Name,Source
09:00:04,068270,셀트리온,RealTime
09:00:06,053690,한미글로벌,RealTime
09:00:12,131970,두산테스나,RealTime
09:00:15,376900,로킷헬스케어,RealTime
09:00:18,035510,신세계 I&C,RealTime
09:00:21,394280,오픈엣지테크놀로지,RealTime
09:00:24,240810,원익IPS,RealTime
09:00:28,226950,올릭스,RealTime
09:00:30,440110,파두,RealTime
09:00:32,402490,그린리소스,RealTime
09:00:34,226590,엠디바이스,RealTime
09:00:38,098070,한텍,RealTime
09:00:40,100840,SNT에너지,RealTime
09:00:42,322000,HD현대에너지솔루션,RealTime
09:00:47,234690,녹십자웰빙,RealTime
09:00:51,095340,ISC,RealTime
09:00:57,319660,피에스케이,RealTime
09:01:05,001430,세아베스틸지주,RealTime
09:01:09,141080,리가켐바이오,RealTime
09:01:39,003000,부광약품,RealTime
09:01:58,131030,옵투스제약,RealTime
09:02:00,129920,대성하이텍,RealTime
09:02:54,214390,경보제약,RealTime
09:03:23,004440,삼일씨엔에스,RealTime
09:04:30,115440,우리넷,RealTime
09:17:03,050890,쏠리드,RealTime
09:17:03,010170,대한광통신,RealTime
09:17:08,036930,주성엔지니어링,RealTime
09:17:10,033640,네패스,RealTime
09:17:11,069540,빛과전자,RealTime
09:17:12,095340,ISC,RealTime
09:17:14,068270,셀트리온,RealTime
09:17:18,006400,삼성SDI,RealTime
09:17:20,031980,피에스케이홀딩스,RealTime
09:17:22,322000,HD현대에너지솔루션,RealTime
09:17:22,086390,유니테스트,RealTime
09:17:25,039490,키움증권,RealTime
09:17:29,000250,삼천당제약,RealTime
09:17:30,066570,LG전자,RealTime
09:17:33,234690,녹십자웰빙,RealTime
09:17:33,347850,디앤디파마텍,RealTime
09:17:36,061970,LB세미콘,RealTime
09:17:39,012450,한화에어로스페이스,RealTime
09:17:43,047050,포스코인터내셔널,RealTime
09:17:46,005940,NH투자증권,RealTime
09:17:50,067310,하나마이크론,RealTime
09:17:53,051980,중앙첨단소재,RealTime
09:18:10,005930,삼성전자,RealTime
09:18:12,092600,앤씨앤,RealTime
09:18:14,263750,펄어비스,RealTime
09:18:16,005380,현대차,RealTime
09:18:19,000660,SK하이닉스,RealTime
09:18:22,247540,에코프로비엠,RealTime
09:18:26,080220,제주반도체,RealTime
09:18:27,138080,오이솔루션,RealTime
09:18:28,108860,셀바스AI,RealTime
09:18:31,267260,HD현대일렉트릭,RealTime
09:18:33,298040,효성중공업,RealTime
09:18:40,054620,APS,RealTime
09:19:18,330860,네패스아크,RealTime
09:20:34,004440,삼일씨엔에스,RealTime
09:21:01,393890,더블유씨피,RealTime
09:21:39,394280,오픈엣지테크놀로지,RealTime
09:23:14,078070,유비쿼스홀딩스,RealTime
09:23:25,425040,티이엠씨,RealTime
09:25:46,066310,큐에스아이,RealTime
09:28:04,489790,한화비전,RealTime
09:30:09,066970,엘앤에프,RealTime
09:30:37,355150,코스텍시스,RealTime
09:33:18,243840,신흥에스이씨,RealTime
09:34:18,389020,자람테크놀로지,RealTime
09:42:57,131970,두산테스나,RealTime
09:45:24,131030,옵투스제약,RealTime
09:46:35,090460,비에이치,RealTime
09:48:33,034020,두산에너빌리티,RealTime
09:48:39,006800,미래에셋증권,RealTime
09:48:41,100790,미래에셋벤처투자,RealTime
09:48:44,088800,에이스테크,RealTime
09:48:54,450080,에코프로머티,RealTime
09:49:00,077360,덕산하이메탈,RealTime
09:49:08,046120,오르비텍,RealTime
09:49:14,071050,한국금융지주,RealTime
09:49:20,007810,코리아써키트,RealTime
09:49:22,073490,LIG아큐버,RealTime
09:49:27,005420,코스모화학,RealTime
09:49:33,009150,삼성전기,RealTime
09:49:35,011070,LG이노텍,RealTime
09:49:37,039560,다산네트웍스,RealTime
09:49:40,045100,한양이엔지,RealTime
09:49:42,486990,노타,RealTime
09:49:44,033790,피노,RealTime
09:52:52,170920,엘티씨,RealTime
09:58:06,178920,PI첨단소재,RealTime
09:58:08,129920,대성하이텍,RealTime
10:06:34,440110,파두,RealTime
10:10:28,033160,엠케이전자,RealTime
10:13:03,078600,대주전자재료,RealTime
10:18:28,053690,한미글로벌,RealTime
10:28:07,453450,그리드위즈,RealTime
10:31:13,080580,오킨스전자,RealTime
10:34:37,375500,DL이앤씨,RealTime
10:40:04,196170,알테오젠,RealTime
10:40:05,101400,엔시트론,RealTime
10:40:06,091580,상신이디피,RealTime
10:40:07,039030,이오테크닉스,RealTime
10:40:08,222800,심텍,RealTime
10:40:09,005070,코스모신소재,RealTime
10:40:11,052860,아이앤씨,RealTime
10:40:12,003530,한화투자증권,RealTime
10:40:14,091440,한울소재과학,RealTime
10:40:24,102120,어보브반도체,RealTime
10:40:27,123860,아나패스,RealTime
10:40:40,088390,이녹스,RealTime
10:44:00,051370,인터플렉스,RealTime
10:44:02,036540,SFA반도체,RealTime
10:48:18,356860,티엘비,RealTime
10:51:39,042660,한화오션,RealTime
10:52:14,023160,태광,RealTime
10:53:04,115440,우리넷,RealTime
11:00:04,047040,대우건설,RealTime
11:38:33,069540,빛과전자,RealTime
11:38:37,006400,삼성SDI,RealTime
11:38:43,050890,쏠리드,RealTime
11:38:43,068270,셀트리온,RealTime
11:38:43,234690,녹십자웰빙,RealTime
11:38:44,079550,LIG디펜스앤에어로스페이스,RealTime
11:38:46,011070,LG이노텍,RealTime
11:38:48,032500,케이엠더블유,RealTime
11:38:48,098460,고영,RealTime
11:38:51,067310,하나마이크론,RealTime
11:38:51,039030,이오테크닉스,RealTime
11:38:56,000250,삼천당제약,RealTime
11:38:56,052690,한전기술,RealTime
11:38:56,008060,대덕,RealTime
11:38:58,066570,LG전자,RealTime
11:38:59,141080,리가켐바이오,RealTime
11:39:01,007810,코리아써키트,RealTime
11:39:02,010170,대한광통신,RealTime
11:39:04,092600,앤씨앤,RealTime
11:39:05,491000,리브스메드,RealTime
11:39:07,077360,덕산하이메탈,RealTime
11:39:08,042370,비츠로테크,RealTime
