Time,Code,Name,Source
09:00:02,247540,에코프로비엠,RealTime
09:00:06,073490,LIG아큐버,RealTime
09:00:08,092600,앤씨앤,RealTime
09:00:11,085660,차바이오텍,RealTime
09:00:15,058610,에스피지,RealTime
09:00:17,141080,리가켐바이오,RealTime
09:00:19,036710,심텍홀딩스,RealTime
09:00:22,007810,코리아써키트,RealTime
09:00:27,005690,파미셀,RealTime
09:00:28,067310,하나마이크론,RealTime
09:00:32,039030,이오테크닉스,RealTime
09:00:33,027360,아주IB투자,RealTime
09:00:35,094820,일진파워,RealTime
09:00:37,061970,LB세미콘,RealTime
09:00:40,002310,아세아제지,RealTime
09:00:43,016590,신대양제지,RealTime
09:00:47,008060,대덕,RealTime
09:00:51,073570,리튬포어스,RealTime
09:00:55,102120,어보브반도체,RealTime
09:01:33,264450,유비쿼스,RealTime
09:05:14,375500,DL이앤씨,RealTime
09:05:33,052710,아모텍,RealTime
09:05:46,336370,솔루스첨단소재,RealTime
09:05:53,097230,HJ중공업,RealTime
09:06:01,100090,SK오션플랜트,RealTime
09:06:25,062040,산일전기,RealTime
09:06:53,243840,신흥에스이씨,RealTime
09:11:02,394280,오픈엣지테크놀로지,RealTime
09:13:10,091580,상신이디피,RealTime
09:14:29,178920,PI첨단소재,RealTime
09:16:35,089980,상아프론테크,RealTime
09:17:49,023160,태광,RealTime
09:18:47,006890,태경케미컬,RealTime
09:19:38,068270,셀트리온,RealTime
09:19:40,042660,한화오션,RealTime
09:19:44,468530,프로티나,RealTime
09:19:45,079550,LIG디펜스앤에어로스페이스,RealTime
09:19:46,264450,유비쿼스,RealTime
09:19:47,034020,두산에너빌리티,RealTime
09:19:48,226950,올릭스,RealTime
09:19:52,000250,삼천당제약,RealTime
09:19:54,393890,더블유씨피,RealTime
09:19:55,322000,HD현대에너지솔루션,RealTime
09:19:57,042370,비츠로테크,RealTime
09:19:59,078600,대주전자재료,RealTime
09:20:01,089980,상아프론테크,RealTime
09:20:02,425040,티이엠씨,RealTime
09:20:04,012450,한화에어로스페이스,RealTime
09:20:06,456160,지투지바이오,RealTime
09:20:07,141080,리가켐바이오,RealTime
09:20:09,053690,한미글로벌,RealTime
09:20:10,0009K0,에임드바이오,RealTime
09:20:12,006400,삼성SDI,RealTime
09:20:14,439260,대한조선,RealTime
09:20:16,082920,비츠로셀,RealTime
09:21:29,375500,DL이앤씨,RealTime
09:21:34,091580,상신이디피,RealTime
09:48:47,000250,삼천당제약,RealTime
09:48:49,042660,한화오션,RealTime
09:48:50,322000,HD현대에너지솔루션,RealTime
09:48:50,347850,디앤디파마텍,RealTime
09:48:51,393890,더블유씨피,RealTime
09:48:52,012450,한화에어로스페이스,RealTime
09:48:52,141080,리가켐바이오,RealTime
09:48:53,226950,올릭스,RealTime
09:48:53,089980,상아프론테크,RealTime
09:48:54,078600,대주전자재료,RealTime
09:48:55,006400,삼성SDI,RealTime
09:48:55,082920,비츠로셀,RealTime
09:48:56,439260,대한조선,RealTime
09:48:56,079550,LIG디펜스앤에어로스페이스,RealTime
09:48:57,456160,지투지바이오,RealTime
09:48:57,264450,유비쿼스,RealTime
09:48:58,0009K0,에임드바이오,RealTime
09:48:59,068270,셀트리온,RealTime
09:49:00,491000,리브스메드,RealTime
09:49:01,042370,비츠로테크,RealTime
09:49:02,425040,티이엠씨,RealTime
09:49:03,053690,한미글로벌,RealTime
09:49:04,468530,프로티나,RealTime
09:49:16,106190,하이텍팜,RealTime
09:49:22,023160,태광,RealTime
09:51:40,062040,산일전기,RealTime
09:56:07,006890,태경케미컬,RealTime
09:59:23,234690,녹십자웰빙,RealTime
10:01:14,375500,DL이앤씨,RealTime
10:03:28,042660,한화오션,RealTime
10:03:29,053690,한미글로벌,RealTime
10:03:29,042370,비츠로테크,RealTime
10:03:29,226950,올릭스,RealTime
10:03:29,322000,HD현대에너지솔루션,RealTime
10:03:30,079550,LIG디펜스앤에어로스페이스,RealTime
10:03:31,439260,대한조선,RealTime
10:03:31,089980,상아프론테크,RealTime
10:03:31,000250,삼천당제약,RealTime
10:03:32,264450,유비쿼스,RealTime
10:03:32,468530,프로티나,RealTime
10:03:33,012450,한화에어로스페이스,RealTime
10:03:33,347850,디앤디파마텍,RealTime
10:03:33,034020,두산에너빌리티,RealTime
10:03:34,082920,비츠로셀,RealTime
10:03:34,078600,대주전자재료,RealTime
10:03:34,006400,삼성SDI,RealTime
10:03:35,141080,리가켐바이오,RealTime
10:03:36,0009K0,에임드바이오,RealTime
10:03:36,425040,티이엠씨,RealTime
10:03:37,491000,리브스메드,RealTime
10:03:37,456160,지투지바이오,RealTime
10:03:38,068270,셀트리온,RealTime
10:03:38,393890,더블유씨피,RealTime
10:03:38,106190,하이텍팜,RealTime
10:04:15,375500,DL이앤씨,RealTime
10:09:59,338840,와이바이오로직스,RealTime
10:14:07,023160,태광,RealTime
10:19:10,086820,바이오솔루션,RealTime
10:32:03,009420,한올바이오파마,RealTime
10:47:37,123330,제닉,RealTime
10:53:41,453450,그리드위즈,RealTime
10:55:53,394280,오픈엣지테크놀로지,RealTime
11:13:41,100840,SNT에너지,RealTime
12:27:04,000250,삼천당제약,RealTime
12:27:07,226950,올릭스,RealTime
12:27:07,264450,유비쿼스,RealTime
12:27:08,141080,리가켐바이오,RealTime
12:27:09,079550,LIG디펜스앤에어로스페이스,RealTime
12:27:12,0009K0,에임드바이오,RealTime
12:27:12,042660,한화오션,RealTime
12:27:12,082920,비츠로셀,RealTime
12:27:12,393890,더블유씨피,RealTime
12:27:13,078600,대주전자재료,RealTime
12:27:14,322000,HD현대에너지솔루션,RealTime
12:27:14,053690,한미글로벌,RealTime
12:27:15,425040,티이엠씨,RealTime
12:27:16,491000,리브스메드,RealTime
12:27:17,042370,비츠로테크,RealTime
12:27:18,347850,디앤디파마텍,RealTime
12:27:19,106190,하이텍팜,RealTime
