Time,Code,Name,Source
09:00:30,214390,경보제약,RealTime
09:01:33,006360,GS건설,RealTime
09:02:14,097230,HJ중공업,RealTime
09:02:15,217590,티엠씨,RealTime
09:02:19,226950,올릭스,RealTime
09:02:26,240810,원익IPS,RealTime
09:02:29,375500,DL이앤씨,RealTime
09:02:29,131030,옵투스제약,RealTime
09:04:34,456040,OCI,RealTime
09:06:07,425420,티에프이,RealTime
09:09:30,004960,한신공영,RealTime
09:10:20,475580,에이럭스,RealTime
09:14:16,003000,부광약품,RealTime
09:18:23,078020,LS증권,RealTime
09:23:37,129920,대성하이텍,RealTime
09:33:24,089970,브이엠,RealTime
09:34:09,440110,파두,RealTime
09:36:43,036930,주성엔지니어링,RealTime
09:40:31,033640,네패스,RealTime
09:42:10,229640,LS에코에너지,RealTime
09:47:47,066310,큐에스아이,RealTime
09:55:37,200710,에이디테크놀로지,RealTime
10:11:00,082640,동양생명,RealTime
10:17:03,078520,에이블씨엔씨,RealTime
10:28:06,054620,APS,RealTime
10:39:47,141080,리가켐바이오,RealTime
11:02:14,115440,우리넷,RealTime
11:32:45,123330,제닉,RealTime
12:07:09,000250,삼천당제약,RealTime
13:58:08,322310,오로스테크놀로지,RealTime
14:56:17,004440,삼일씨엔에스,RealTime
